rank,selection,project,issue,title,status,upvotes,downvotes,updated,url
187,verified current selection; not globally vote-sorted,mutter,5040,Mutter fails to adjust calibration of touchpanel upon resolution aspect ratio change,opened,0,0,2026-09-09T18:26:28.184Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/5040
188,verified current selection; not globally vote-sorted,pygobject,772,GLib.log_set_default_handler is not ported in the Python binding,opened,0,0,2026-09-09T18:14:30.491Z,https://gitlab.gnome.org/GNOME/pygobject/-/work_items/772
189,verified current selection; not globally vote-sorted,pygobject,771,"GLib.LogField is serialized with values referenced as raw memory addresses instead of byte strings, hence it can not used from the Python code",opened,0,0,2026-09-09T18:07:20.495Z,https://gitlab.gnome.org/GNOME/pygobject/-/work_items/771
190,verified current selection; not globally vote-sorted,librsvg,1239,Crash in downstream Cairo when rendering <text>,opened,0,0,2026-09-09T18:01:28.519Z,https://gitlab.gnome.org/GNOME/librsvg/-/work_items/1239
191,verified current selection; not globally vote-sorted,gnome-shell,9406,Scrolling on quick settings volume slider with Bluetooth headphones connected sometimes results in volume jumping to completely different level,opened,0,0,2026-09-09T17:56:43.821Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/9406
192,verified current selection; not globally vote-sorted,glib,4044,(CVE-2026-86469) (#YWH-PGM9867-289) TOCTOU on GLib through g_file_replace() in gio/glocalfileoutputstream.c via G_FILE_CREATE_REPLACE_DESTINATION leads to Arbitrary File Overwrite,opened,0,0,2026-09-09T16:20:26.631Z,https://gitlab.gnome.org/GNOME/glib/-/work_items/4044
193,verified current selection; not globally vote-sorted,nautilus,4273,Pressing ctrl+x (cut) on a file in Recents view should raise an error toast/notification,opened,0,0,2026-09-09T16:15:07.347Z,https://gitlab.gnome.org/GNOME/nautilus/-/work_items/4273
194,verified current selection; not globally vote-sorted,gnome-shell,9405,Padding is inconsistent,opened,0,0,2026-09-09T16:08:16.684Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/9405
195,verified current selection; not globally vote-sorted,meld,993,slowdown while merging a change into another buffer in 3 way comparison,opened,0,0,2026-09-09T15:29:54.536Z,https://gitlab.gnome.org/GNOME/meld/-/work_items/993
196,verified current selection; not globally vote-sorted,gnome-disk-utility,503,Disk page looks awkward when no information is present,opened,0,0,2026-09-09T14:45:09.657Z,https://gitlab.gnome.org/GNOME/gnome-disk-utility/-/work_items/503
197,verified current selection; not globally vote-sorted,gthumb,410,"Videos ""Respect orientation"" option is misleading",opened,0,0,2026-09-09T14:31:56.387Z,https://gitlab.gnome.org/GNOME/gthumb/-/work_items/410
198,verified current selection; not globally vote-sorted,gnome-shell,9403,Shm leak during lock screen,opened,0,0,2026-09-09T14:25:32.927Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/9403
199,verified current selection; not globally vote-sorted,evolution-data-server,656,PROCEDURE alarm argument injection bypassing the ATTACH allow-list,opened,0,0,2026-09-09T14:03:09.306Z,https://gitlab.gnome.org/GNOME/evolution-data-server/-/work_items/656
200,verified current selection; not globally vote-sorted,gnome-shell,9327,App Grid icons loading delay,opened,0,0,2026-09-09T13:23:22.291Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/9327
201,verified current selection; not globally vote-sorted,gnome-shell,9384,AppFolderDialog leaks a changed::name GSettings handler → use-after-free crash on app install,opened,0,0,2026-09-09T13:19:40.797Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/9384
202,verified current selection; not globally vote-sorted,gnome-shell,9394,"mpris.js: _updateState() is O(N²) in metadata size, stalling the compositor on large MPRIS Metadata",opened,0,0,2026-09-09T13:18:28.632Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/9394
203,verified current selection; not globally vote-sorted,gimp,16751,Actions path on Search popup (/) are not localized,opened,0,0,2026-09-09T12:58:38.951Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/16751
204,verified current selection; not globally vote-sorted,gtk,8295,"Nautilus ""Open With"" crashes with SIGSEGV in `cairo_font_options_copy`/`pango_fc_font_map_add` — PangoFcFontMap accessed from a GTask thread pool worker while rendering a symbolic icon",opened,0,0,2026-09-09T12:55:20.478Z,https://gitlab.gnome.org/GNOME/gtk/-/work_items/8295
205,verified current selection; not globally vote-sorted,mutter,4681,Clipping of top bar when mouse pointer is on bottom of screen,opened,0,0,2026-09-09T12:25:01.985Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/4681
206,verified current selection; not globally vote-sorted,pango,900,Build fails with clang 23: -Werror=unused-but-set-variable now includes -Wunused-but-set-global,opened,0,0,2026-09-09T11:17:50.909Z,https://gitlab.gnome.org/GNOME/pango/-/work_items/900
207,verified current selection; not globally vote-sorted,citemplates,48,Update default-rules,opened,0,0,2026-09-09T10:18:58.458Z,https://gitlab.gnome.org/GNOME/citemplates/-/work_items/48
208,verified current selection; not globally vote-sorted,gimp,16717,View->Shrink Wrap: erratic behavior with vertical images,opened,0,0,2026-09-09T08:59:30.976Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/16717
209,verified current selection; not globally vote-sorted,mutter,2718,Crash when disabling external monitor in Settings,opened,0,0,2026-09-09T08:45:23.067Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/2718
210,verified current selection; not globally vote-sorted,mutter,3050,"[44, 45] fullscreen-maximize test case intermittently fails on ARM: Expected size 800x600 didn't match actual size 500x400",opened,0,0,2026-09-09T07:58:07.981Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/3050
211,verified current selection; not globally vote-sorted,mutter,2509,Intermittent test failure: stacking/restore-size.metatest: 27: Expected size 300x200 didn't match actual size 500x400,opened,0,0,2026-09-09T07:57:25.300Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/2509
212,verified current selection; not globally vote-sorted,mutter,3051,"[44, 45] unfullscreen-strut-change test case intermittently fails on ARM: Expected size 800x600 didn't match actual size 500x400",opened,0,0,2026-09-09T07:56:46.572Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/3051
213,verified current selection; not globally vote-sorted,mutter,3205,Clutter /grab/input-only test intermittently failing: assertion failed (expected[i].type == elem->type): (6 == 3),opened,0,0,2026-09-09T07:54:11.345Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/3205
214,verified current selection; not globally vote-sorted,gnome-shell-extensions,598,Window List: Sometimes draws on top of fullscreen windows in an auto-hide way.,opened,0,0,2026-09-09T00:35:36.472Z,https://gitlab.gnome.org/GNOME/gnome-shell-extensions/-/work_items/598
215,verified current selection; not globally vote-sorted,nautilus,2722,GTK4 Deprecations,opened,0,0,2026-09-08T23:48:51.949Z,https://gitlab.gnome.org/GNOME/nautilus/-/work_items/2722
216,verified current selection; not globally vote-sorted,libsoup,552,(CVE-2026-85197) (#YWH-PGM9867-298) Heap UAF on SoupSession through on_data_read() in libsoup/http2/soup-client-message-io-http2.c via g_input_stream_read_async() in glib/gio/ginputstream.c with GOAWAY frame,opened,0,0,2026-09-08T23:11:41.650Z,https://gitlab.gnome.org/GNOME/libsoup/-/work_items/552
217,verified current selection; not globally vote-sorted,gjs,749,Free `GObject`s declared with the `using` keyword after end of scope,opened,0,0,2026-09-08T23:02:51.144Z,https://gitlab.gnome.org/GNOME/gjs/-/work_items/749
218,verified current selection; not globally vote-sorted,gnome-settings-daemon,952,"Automatic Time Zone incorrectly changes America/Cancun to America/Mexico_City after every reboot in Cancun, Mexico",opened,0,0,2026-09-08T22:38:49.680Z,https://gitlab.gnome.org/GNOME/gnome-settings-daemon/-/work_items/952
219,verified current selection; not globally vote-sorted,xdg-desktop-portal-gnome,225,"InputCapture reports version 0 on GNOME 50.0, despite full v1 backend support",opened,0,0,2026-09-08T22:10:00.472Z,https://gitlab.gnome.org/GNOME/xdg-desktop-portal-gnome/-/work_items/225
220,verified current selection; not globally vote-sorted,pygobject,770,ASAN g_* reports leaks on pygobject info objects,opened,0,0,2026-09-08T21:21:41.489Z,https://gitlab.gnome.org/GNOME/pygobject/-/work_items/770
221,verified current selection; not globally vote-sorted,libmks,22,"MksDisplay requests guest resolution in logical pixels, so the guest is upscaled and blurry under fractional scaling",opened,0,0,2026-09-08T20:48:16.283Z,https://gitlab.gnome.org/GNOME/libmks/-/work_items/22
222,verified current selection; not globally vote-sorted,librsvg,1215,panic: Data storage buffer dimension mismatch,opened,0,0,2026-09-08T19:35:03.601Z,https://gitlab.gnome.org/GNOME/librsvg/-/work_items/1215
223,verified current selection; not globally vote-sorted,librsvg,1238,Don't process data: URIs for images when fuzzing,opened,0,0,2026-09-08T19:33:03.943Z,https://gitlab.gnome.org/GNOME/librsvg/-/work_items/1238
224,verified current selection; not globally vote-sorted,gtk,8399,GtkMenuButton not rendering SVG properly,opened,0,0,2026-09-08T19:22:37.893Z,https://gitlab.gnome.org/GNOME/gtk/-/work_items/8399
225,verified current selection; not globally vote-sorted,baobab,242,Is a non-GIO (e.g. POSIX) fast path acceptable for this utility? Is there an AI usage policy?,opened,0,0,2026-09-08T15:24:31.143Z,https://gitlab.gnome.org/GNOME/baobab/-/work_items/242
226,verified current selection; not globally vote-sorted,mutter,4035,non-deterministic test failures,opened,0,0,2026-09-08T15:18:21.627Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/4035
227,verified current selection; not globally vote-sorted,gnome-calendar,1454,"""Event deleted"" GtkOverlay message is announced by Orca only as it is about to disappear, as focus defaults to the sidebar togglebutton which gets read first",opened,0,0,2026-09-08T15:17:57.451Z,https://gitlab.gnome.org/GNOME/gnome-calendar/-/work_items/1454
228,verified current selection; not globally vote-sorted,mutter,4711,wayland-unit test is flaky,opened,0,0,2026-09-08T15:16:44.716Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/4711
229,verified current selection; not globally vote-sorted,gimp,15742,Color picker reports old value on same location across layers with alpha enabled,opened,0,0,2026-09-08T15:14:22.837Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/15742
230,verified current selection; not globally vote-sorted,gimp,16104,The clipboard pattern and brush are the image size and not the copied layer size.,opened,0,0,2026-09-08T15:13:23.522Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/16104
231,verified current selection; not globally vote-sorted,gimp,15867,Separator hover state gets stuck after click away from popup/context menu,opened,0,0,2026-09-08T15:12:33.027Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/15867
232,verified current selection; not globally vote-sorted,gimp,4332,Incorrect Histogram Arithmetic Mean Values,opened,0,0,2026-09-08T15:11:58.812Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/4332
233,verified current selection; not globally vote-sorted,gimp,15595,Raw float image loader ignores endian,opened,0,0,2026-09-08T15:11:07.222Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/15595
234,verified current selection; not globally vote-sorted,mutter,5030,map-after-headless test fails randomly,opened,0,0,2026-09-08T15:05:10.809Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/5030
235,verified current selection; not globally vote-sorted,gimp,5673,Text tool: Non-zero (negative) kerning is broken,opened,0,0,2026-09-08T15:01:14.161Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/5673
236,verified current selection; not globally vote-sorted,gnome-shell,9402,Sound and window management bugs.,opened,0,0,2026-09-08T14:20:22.395Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/9402
237,verified current selection; not globally vote-sorted,libsoup,555,"Cannot load goodhousekeeping.com: Unexpected state changed READ_DATA -> READ_DATA_START, expected to be from READ_HEADERS",opened,0,0,2026-09-08T13:22:18.924Z,https://gitlab.gnome.org/GNOME/libsoup/-/work_items/555
238,verified current selection; not globally vote-sorted,gnome-control-center,3756,Previewing a custom keyboard layout from Settings doesn't work,opened,0,0,2026-09-08T12:55:16.498Z,https://gitlab.gnome.org/GNOME/gnome-control-center/-/work_items/3756
239,verified current selection; not globally vote-sorted,gtk,8401,build: reenable macos-arm64 when the runner is fixed,opened,0,0,2026-09-08T11:51:40.545Z,https://gitlab.gnome.org/GNOME/gtk/-/work_items/8401
240,verified current selection; not globally vote-sorted,mutter,5037,Per-user/per-session selection of primary GPU,opened,0,0,2026-09-08T10:35:54.785Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/5037
241,verified current selection; not globally vote-sorted,gnome-characters,187,Wrong number of result metas returned by search provider,opened,0,0,2026-09-08T10:33:30.290Z,https://gitlab.gnome.org/GNOME/gnome-characters/-/work_items/187
242,verified current selection; not globally vote-sorted,gimp,16163,Changing the visibility of an un-merged filter is omitted from the undo history.,opened,0,0,2026-09-08T10:20:43.064Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/16163
243,verified current selection; not globally vote-sorted,vte,2962,Long IME preedit text is clipped instead of wrapped,opened,0,0,2026-09-08T09:05:02.485Z,https://gitlab.gnome.org/GNOME/vte/-/work_items/2962
244,verified current selection; not globally vote-sorted,gnome-disk-utility,496,[Bug] Drives on sidebar do not always refresh for loop devices,opened,0,0,2026-09-08T08:21:18.578Z,https://gitlab.gnome.org/GNOME/gnome-disk-utility/-/work_items/496
245,verified current selection; not globally vote-sorted,libxml2,1103,regexp: Remaining issues with character ranges and escapes,opened,0,0,2026-09-08T06:49:40.294Z,https://gitlab.gnome.org/GNOME/libxml2/-/work_items/1103
246,verified current selection; not globally vote-sorted,gdk-pixbuf,314,Four memory bugs found in gdk-pixbuf with PoCs,opened,0,0,2026-09-08T06:07:36.668Z,https://gitlab.gnome.org/GNOME/gdk-pixbuf/-/work_items/314
247,verified current selection; not globally vote-sorted,gnome-control-center,3804,graphics tablets: Tablet rotation no longer affecting touch,opened,0,0,2026-09-08T03:30:14.732Z,https://gitlab.gnome.org/GNOME/gnome-control-center/-/work_items/3804
248,verified current selection; not globally vote-sorted,gimp,1050,GIMP should support SpaceNavigator / 3D Xinput devices,opened,0,0,2026-09-08T03:23:50.227Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/1050
249,verified current selection; not globally vote-sorted,gimp,9691,GeoTiff file opens only in b/w and not in grayscale (due to tags not being read),opened,0,0,2026-09-07T23:25:31.028Z,https://gitlab.gnome.org/GNOME/gimp/-/work_items/9691
250,verified current selection; not globally vote-sorted,evince,35,Unimplemented annotation: POPPLER_ANNOT_SCREEN,opened,0,0,2026-09-07T21:28:44.704Z,https://gitlab.gnome.org/GNOME/evince/-/work_items/35
